battery_kwh,metric,bdew,real_count,real_min,real_p05,real_p25,real_median,real_mean,real_p75,real_p95,real_max,real_std,bdew_percentile_rank
13,einspeisung_kwh,5618.49,27,5683.901,5722.737,5841.002,5881.311,5959.948,5963.64,6525.022,7160.605,295.466,0
14,eigenverbrauch_kwh,4434.729,27,2922.131,3568.185,4111.802,4183.11,4109.081,4226.615,4333.745,4378.442,288.958,100
14,eigenverbrauchsquote_pct,43.103,27,28.401,34.681,39.965,40.657,39.938,41.08,42.122,42.556,2.809,100
14,autarkie_pct,88.695,27,58.443,71.364,82.236,83.662,82.182,84.533,86.675,87.569,5.779,100
14,netzbezug_kwh,565.271,27,621.558,666.255,773.386,816.89,890.919,888.198,1431.815,2077.869,288.958,0
14,einspeisung_kwh,5588.625,27,5656.897,5692.112,5813.059,5849.558,5930.496,5936.159,6493.719,7148.141,297.829,0
15,eigenverbrauch_kwh,4458.671,27,2931.686,3593.832,4133.048,4207.342,4132.413,4251.538,4357.573,4401.926,290.78,100
15,eigenverbrauchsquote_pct,43.336,27,28.494,34.93,40.171,40.893,40.165,41.323,42.353,42.784,2.826,100
15,autarkie_pct,89.173,27,58.634,71.877,82.661,84.147,82.649,85.031,87.152,88.039,5.816,100
15,netzbezug_kwh,541.329,27,598.074,642.427,748.463,792.658,867.587,866.952,1406.168,2068.314,290.78,0
15,einspeisung_kwh,5562.259,27,5631.158,5665.714,5789.378,5822.932,5904.877,5912.862,6465.716,7136.488,299.696,0
